gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2032.95	35.00	2.27	1.42
gene10	rna11_gene10	889.00	667.95	2.29	0.45	0.28
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3166.61	2945.56	561.00	25.17	15.70
gene1000	rna1733_gene1000	2331.00	2109.95	33.00	2.07	1.29
gene10000	rna16931_gene10000	1026.00	804.95	6.00	0.98	0.61
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3281.00	3059.95	4.00	0.17	0.11
gene10002	rna16938_gene10002,rna16939_gene10002	3140.00	2918.95	3.02	0.14	0.09
gene10003	rna16940_gene10003	2253.00	2031.95	223.00	14.50	9.04
gene10004	rna16941_gene10004	768.00	546.96	100.64	24.31	15.16
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5743.61	5522.56	304.10	7.28	4.54
gene10006	rna16946_gene10006	1439.00	1217.95	34.56	3.75	2.34
gene10007	rna16947_gene10007	488.00	267.38	128.77	63.64	39.69
gene10008	rna16948_gene10008	647.00	426.00	2.36	0.73	0.46
gene10009	rna16949_gene10009	2845.00	2623.95	42.90	2.16	1.35
gene1001	rna1734_gene1001	3958.00	3736.95	1169.00	41.33	25.78
gene10010	rna16950_gene10010	2083.00	1861.95	44.44	3.15	1.97
gene10011	rna16951_gene10011	501.00	280.30	1.23	0.58	0.36
gene10012	rna16952_gene10012	3414.00	3192.95	454.00	18.79	11.72
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2652.00	2430.95	161.00	8.75	5.46
gene10014	rna16956_gene10014	2999.00	2777.95	23.00	1.09	0.68
gene10015	rna16957_gene10015	1960.00	1738.95	3.00	0.23	0.14
gene10016	rna16958_gene10016	2642.00	2420.95	309.00	16.87	10.52
gene10017	rna16959_gene10017	186.00	8.17	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1731.49	1510.44	384.00	33.59	20.95
gene10019	rna16962_gene10019	1964.00	1742.95	11.00	0.83	0.52
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	731.95	44.00	7.94	4.95
gene10020	rna16963_gene10020	2026.00	1804.95	601.00	44.00	27.44
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1764.95	4.00	0.30	0.19
gene10022	rna16966_gene10022	2461.00	2239.95	159.00	9.38	5.85
gene10023	rna16967_gene10023	970.00	748.95	3.00	0.53	0.33
gene10024	rna16968_gene10024	4014.00	3792.95	396.00	13.80	8.60
gene10025	rna16969_gene10025,rna16970_gene10025	2074.00	1852.95	24.00	1.71	1.07
gene10026	rna16971_gene10026,rna16972_gene10026	3490.06	3269.01	191.00	7.72	4.82
gene10027	rna16973_gene10027,rna16974_gene10027,rna16975_gene10027	2351.33	2130.28	801.00	49.68	30.99
gene10028	rna16976_gene10028	1246.00	1024.95	751.00	96.82	60.38
gene10029	rna16977_gene10029	4701.00	4479.95	1226.00	36.16	22.55
gene1003	rna1737_gene1003,rna1738_gene1003	923.00	701.95	6.00	1.13	0.70
gene10030	rna16978_gene10030	789.00	567.96	1.00	0.23	0.15
gene10031	rna16979_gene10031	3059.00	2837.95	1.00	0.05	0.03
gene10032	rna16980_gene10032	1615.00	1393.95	2.00	0.19	0.12
gene10033	rna16981_gene10033,rna16982_gene10033,rna16983_gene10033,rna16984_gene10033,rna16985_gene10033,rna16986_gene10033,rna16987_gene10033	1568.71	1347.66	34.00	3.33	2.08
gene10034	rna16988_gene10034,rna16989_gene10034	1445.34	1224.29	8.00	0.86	0.54
gene10035	rna16990_gene10035	14186.00	13964.95	318.00	3.01	1.88
gene10036	rna16991_gene10036,rna16992_gene10036,rna16993_gene10036	3655.00	3433.95	12.30	0.47	0.30
gene10037	rna16994_gene10037,rna16995_gene10037	2825.00	2603.95	24.76	1.26	0.78
gene10038	rna16996_gene10038	2041.00	1819.95	158.00	11.47	7.15
gene10039	rna16997_gene10039,rna16998_gene10039	1209.00	987.95	21.27	2.84	1.77
gene1004	rna1739_gene1004	393.00	173.83	0.00	0.00	0.00
gene10040	rna16999_gene10040	1978.00	1756.95	1.00	0.08	0.05
gene10041	rna17000_gene10041	1428.00	1206.95	10.71	1.17	0.73
gene10042	rna17001_gene10042,rna17002_gene10042,rna17003_gene10042	711.00	489.97	2.37	0.64	0.40
gene10043	rna17004_gene10043	2184.00	1962.95	12.62	0.85	0.53
gene10044	rna17005_gene10044	464.00	243.57	0.00	0.00	0.00
gene10045	rna17006_gene10045	263.00	55.90	1.00	2.36	1.47
gene10046	gene10046_gene10046	1289.00	1067.95	53.68	6.64	4.14
gene10047	rna17007_gene10047,rna17008_gene10047	1647.00	1425.95	5.00	0.46	0.29
gene10048	rna17009_gene10048,rna17010_gene10048,rna17011_gene10048,rna17012_gene10048,rna17013_gene10048,rna17014_gene10048,rna17015_gene10048,rna17016_gene10048	3336.84	3115.79	260.00	11.03	6.88
gene10049	rna17017_gene10049	229.00	31.12	0.00	0.00	0.00
gene1005	rna1740_gene1005,rna1741_gene1005	450.00	229.72	1.00	0.58	0.36
gene10050	rna17018_gene10050	741.00	519.97	0.00	0.00	0.00
gene10051	rna17019_gene10051,rna17020_gene10051	1064.50	843.45	0.00	0.00	0.00
gene10052	rna17021_gene10052	106.00	0.00	0.00	0.00	0.00
gene10053	rna17022_gene10053	1382.00	1160.95	265.00	30.16	18.81
gene10054	rna17023_gene10054	552.00	331.11	3.00	1.20	0.75
gene10055	rna17024_gene10055,rna17025_gene10055,rna17026_gene10055,rna17027_gene10055,rna17028_gene10055,rna17029_gene10055	3457.45	3236.41	630.69	25.75	16.06
gene10056	rna17030_gene10056	1798.00	1576.95	100.00	8.38	5.23
gene10057	rna17031_gene10057	538.00	317.15	0.00	0.00	0.00
gene10058	rna17032_gene10058,rna17033_gene10058,rna17034_gene10058,rna17035_gene10058	2193.95	1972.90	257.00	17.21	10.74
gene10059	rna17036_gene10059,rna17037_gene10059	1051.00	829.95	4.00	0.64	0.40
gene1006	rna1742_gene1006	990.00	768.95	3.00	0.52	0.32
gene10060	rna17038_gene10060	369.00	150.68	0.00	0.00	0.00
gene10061	rna17039_gene10061	279.00	68.90	0.00	0.00	0.00
gene10062	rna17040_gene10062,rna17041_gene10062	3949.00	3727.96	41025.00	1454.09	906.92
gene10063	rna17042_gene10063	1531.00	1309.95	14.00	1.41	0.88
gene10064	rna17043_gene10064	1216.00	994.95	25.00	3.32	2.07
gene10065	gene10065_gene10065	3508.00	3286.95	119.00	4.78	2.98
gene10066	rna17044_gene10066	577.00	356.06	46.00	17.07	10.65
gene10067	rna17045_gene10067,rna17046_gene10067,rna17047_gene10067,rna17048_gene10067,rna17049_gene10067	2029.78	1808.73	395.00	28.86	18.00
gene10068	rna17050_gene10068,rna17051_gene10068	3147.00	2925.95	4.00	0.18	0.11
gene10069	rna17052_gene10069	5092.00	4870.95	963.00	26.12	16.29
gene1007	rna1743_gene1007	2866.00	2644.95	2959.00	147.82	92.20
gene10070	rna17053_gene10070	3112.00	2890.95	21.00	0.96	0.60
gene10071	rna17054_gene10071	1044.00	822.95	153.00	24.57	15.32
gene10072	rna17055_gene10072,rna17056_gene10072	932.00	710.95	35.00	6.50	4.06
gene10073	rna17057_gene10073,rna17058_gene10073,rna17059_gene10073,rna17060_gene10073,rna17061_gene10073,rna17062_gene10073,rna17063_gene10073,rna17064_gene10073,rna17065_gene10073,rna17066_gene10073,rna17067_gene10073,rna17068_gene10073	3719.97	3498.92	4218.00	159.29	99.35
gene10074	rna17069_gene10074,rna17070_gene10074	5098.00	4876.95	233.00	6.31	3.94
gene10075	rna17071_gene10075	2163.00	1941.95	76.00	5.17	3.23
gene10076	rna17072_gene10076,rna17073_gene10076,rna17074_gene10076,rna17075_gene10076,rna17076_gene10076	2405.43	2184.38	65.00	3.93	2.45
