gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2039.86	37.00	2.03	1.41
gene10	rna11_gene10	889.00	674.87	0.00	0.00	0.00
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3181.18	2967.05	531.00	20.05	13.95
gene1000	rna1733_gene1000	2331.00	2116.86	20.00	1.06	0.74
gene10000	rna16931_gene10000	1026.00	811.86	9.00	1.24	0.86
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3281.00	3066.86	7.00	0.26	0.18
gene10002	rna16938_gene10002,rna16939_gene10002	2852.00	2637.86	41.15	1.75	1.22
gene10003	rna16940_gene10003	2253.00	2038.86	238.00	13.08	9.10
gene10004	rna16941_gene10004	768.00	553.87	130.00	26.30	18.30
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5747.55	5533.41	318.38	6.45	4.49
gene10006	rna16946_gene10006	1439.00	1224.86	57.45	5.25	3.66
gene10007	rna16947_gene10007	488.00	274.09	158.82	64.92	45.18
gene10008	rna16948_gene10008	647.00	432.89	0.00	0.00	0.00
gene10009	rna16949_gene10009	2845.00	2630.86	32.62	1.39	0.97
gene1001	rna1734_gene1001	3958.00	3743.86	931.00	27.86	19.39
gene10010	rna16950_gene10010	2083.00	1868.86	53.55	3.21	2.23
gene10011	rna16951_gene10011	501.00	287.05	1.18	0.46	0.32
gene10012	rna16952_gene10012	3414.00	3199.86	365.00	12.78	8.89
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2637.14	2423.01	170.00	7.86	5.47
gene10014	rna16956_gene10014	2999.00	2784.86	10.00	0.40	0.28
gene10015	rna16957_gene10015	1960.00	1745.86	17.00	1.09	0.76
gene10016	rna16958_gene10016	2642.00	2427.86	251.00	11.58	8.06
gene10017	rna16959_gene10017	186.00	9.05	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1733.91	1519.77	160.00	11.79	8.21
