gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2028.61	51.00	3.04	1.97
gene10	rna11_gene10	889.00	663.61	0.00	0.00	0.00
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3178.39	2953.00	454.00	18.59	12.06
gene1000	rna1733_gene1000	2331.00	2105.61	10.00	0.57	0.37
gene10000	rna16931_gene10000	1026.00	800.61	6.00	0.91	0.59
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3474.00	3248.61	9.00	0.33	0.22
gene10002	rna16938_gene10002,rna16939_gene10002	3140.00	2914.61	3.42	0.14	0.09
gene10003	rna16940_gene10003	2253.00	2027.61	210.00	12.52	8.12
gene10004	rna16941_gene10004	768.00	542.63	169.00	37.65	24.43
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5742.55	5517.16	363.00	7.95	5.16
gene10006	rna16946_gene10006	1439.00	1213.61	26.19	2.61	1.69
gene10007	rna16947_gene10007	488.00	263.17	41.31	18.98	12.31
gene10008	rna16948_gene10008	647.00	421.67	0.00	0.00	0.00
gene10009	rna16949_gene10009	2845.00	2619.61	32.00	1.48	0.96
gene1001	rna1734_gene1001	3958.00	3732.61	1168.00	37.83	24.54
gene10010	rna16950_gene10010	2083.00	1857.61	81.81	5.32	3.45
gene10011	rna16951_gene10011	501.00	276.07	94.69	41.47	26.90
gene10012	rna16952_gene10012	3414.00	3188.61	318.00	12.06	7.82
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2645.73	2420.34	282.00	14.09	9.14
gene10014	rna16956_gene10014	2999.00	2773.61	8.00	0.35	0.23
gene10015	rna16957_gene10015	1960.00	1734.61	1.00	0.07	0.05
gene10016	rna16958_gene10016	2642.00	2416.61	168.00	8.40	5.45
gene10017	rna16959_gene10017	186.00	7.77	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1727.39	1502.00	166.00	13.36	8.67
gene10019	rna16962_gene10019	1964.00	1738.61	8.00	0.56	0.36
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	727.61	31.00	5.15	3.34
gene10020	rna16963_gene10020	2026.00	1800.61	951.00	63.85	41.42
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1760.61	19.00	1.30	0.85
gene10022	rna16966_gene10022	2461.00	2235.61	61.00	3.30	2.14
gene10023	rna16967_gene10023	970.00	744.61	7.06	1.15	0.74
gene10024	rna16968_gene10024	4014.00	3788.61	319.00	10.18	6.60
gene10025	rna16969_gene10025,rna16970_gene10025	2074.00	1848.61	44.00	2.88	1.87
gene10026	rna16971_gene10026,rna16972_gene10026	3491.58	3266.19	220.00	8.14	5.28
gene10027	rna16973_gene10027,rna16974_gene10027,rna16975_gene10027	2346.47	2121.08	532.00	30.32	19.67
gene10028	rna16976_gene10028	1246.00	1020.61	617.00	73.09	47.41
gene10029	rna16977_gene10029	4701.00	4475.61	1145.00	30.93	20.06
gene1003	rna1737_gene1003,rna1738_gene1003	923.00	697.61	2.00	0.35	0.22
gene10030	rna16978_gene10030	789.00	563.62	0.00	0.00	0.00
gene10031	rna16979_gene10031	3059.00	2833.61	3.00	0.13	0.08
gene10032	rna16980_gene10032	1615.00	1389.61	1.00	0.09	0.06
gene10033	rna16981_gene10033,rna16982_gene10033,rna16983_gene10033,rna16984_gene10033,rna16985_gene10033,rna16986_gene10033,rna16987_gene10033	1522.47	1297.09	40.00	3.73	2.42
gene10034	rna16988_gene10034,rna16989_gene10034	1304.64	1079.26	17.00	1.90	1.24
gene10035	rna16990_gene10035	14186.00	13960.61	276.00	2.39	1.55
gene10036	rna16991_gene10036,rna16992_gene10036,rna16993_gene10036	3458.58	3233.19	150.26	5.62	3.65
gene10037	rna16994_gene10037,rna16995_gene10037	2826.00	2600.61	0.00	0.00	0.00
gene10038	rna16996_gene10038	2041.00	1815.61	1238.00	82.44	53.48
gene10039	rna16997_gene10039,rna16998_gene10039	1520.05	1294.66	5.49	0.51	0.33
gene1004	rna1739_gene1004	393.00	169.97	0.00	0.00	0.00
gene10040	rna16999_gene10040	1978.00	1752.61	0.00	0.00	0.00
gene10041	rna17000_gene10041	1428.00	1202.61	1.68	0.17	0.11
gene10042	rna17001_gene10042,rna17002_gene10042,rna17003_gene10042	561.67	336.67	0.00	0.00	0.00
gene10043	rna17004_gene10043	2184.00	1958.61	1.74	0.11	0.07
gene10044	rna17005_gene10044	464.00	239.41	0.00	0.00	0.00
gene10045	rna17006_gene10045	263.00	53.81	10.00	22.47	14.57
gene10046	gene10046_gene10046	1289.00	1063.61	200.78	22.82	14.81
gene10047	rna17007_gene10047,rna17008_gene10047	1328.02	1102.63	17.66	1.94	1.26
gene10048	rna17009_gene10048,rna17010_gene10048,rna17011_gene10048,rna17012_gene10048,rna17013_gene10048,rna17014_gene10048,rna17015_gene10048,rna17016_gene10048	3367.00	3141.62	322.00	12.39	8.04
gene10049	rna17017_gene10049	229.00	29.80	0.00	0.00	0.00
gene1005	rna1740_gene1005,rna1741_gene1005	478.50	253.82	0.00	0.00	0.00
gene10050	rna17018_gene10050	741.00	515.63	1.41	0.33	0.21
gene10051	rna17019_gene10051,rna17020_gene10051	1064.50	839.11	0.00	0.00	0.00
gene10052	rna17021_gene10052	106.00	0.00	0.00	0.00	0.00
gene10053	rna17022_gene10053	1382.00	1156.61	342.00	35.75	23.19
gene10054	rna17023_gene10054	552.00	326.83	3.00	1.11	0.72
gene10055	rna17024_gene10055,rna17025_gene10055,rna17026_gene10055,rna17027_gene10055,rna17028_gene10055,rna17029_gene10055	3373.41	3148.02	807.00	30.99	20.11
gene10056	rna17030_gene10056	1798.00	1572.61	120.00	9.23	5.98
gene10057	rna17031_gene10057	538.00	312.88	0.00	0.00	0.00
gene10058	rna17032_gene10058,rna17033_gene10058,rna17034_gene10058,rna17035_gene10058	2160.62	1935.23	238.00	14.87	9.65
gene10059	rna17036_gene10059,rna17037_gene10059	1090.00	864.61	0.00	0.00	0.00
gene1006	rna1742_gene1006	990.00	764.61	11.00	1.74	1.13
gene10060	rna17038_gene10060	369.00	147.00	0.00	0.00	0.00
gene10061	rna17039_gene10061	279.00	66.48	2.68	4.87	3.16
gene10062	rna17040_gene10062,rna17041_gene10062	3961.27	3735.88	79355.00	2568.10	1665.94
gene10063	rna17042_gene10063	1531.00	1305.61	11.00	1.02	0.66
gene10064	rna17043_gene10064	1216.00	990.61	26.00	3.17	2.06
gene10065	gene10065_gene10065	3508.00	3282.61	134.00	4.94	3.20
gene10066	rna17044_gene10066	577.00	351.77	49.00	16.84	10.92
gene10067	rna17045_gene10067,rna17046_gene10067,rna17047_gene10067,rna17048_gene10067,rna17049_gene10067	2072.46	1847.07	377.00	24.68	16.01
gene10068	rna17050_gene10068,rna17051_gene10068	3147.00	2921.61	4.00	0.17	0.11
gene10069	rna17052_gene10069	5092.00	4866.61	1064.00	26.43	17.15
gene1007	rna1743_gene1007	2866.00	2640.61	1264.00	57.87	37.54
gene10070	rna17053_gene10070	3112.00	2886.61	29.00	1.21	0.79
gene10071	rna17054_gene10071	1044.00	818.61	177.00	26.14	16.96
gene10072	rna17055_gene10072,rna17056_gene10072	932.00	706.61	60.00	10.27	6.66
gene10073	rna17057_gene10073,rna17058_gene10073,rna17059_gene10073,rna17060_gene10073,rna17061_gene10073,rna17062_gene10073,rna17063_gene10073,rna17064_gene10073,rna17065_gene10073,rna17066_gene10073,rna17067_gene10073,rna17068_gene10073	3857.54	3632.15	3600.00	119.83	77.73
gene10074	rna17069_gene10074,rna17070_gene10074	5098.00	4872.61	256.00	6.35	4.12
gene10075	rna17071_gene10075	2163.00	1937.61	92.00	5.74	3.72
gene10076	rna17072_gene10076,rna17073_gene10076,rna17074_gene10076,rna17075_gene10076,rna17076_gene10076	2287.22	2061.83	50.00	2.93	1.90
gene10077	rna17077_gene10077	3170.00	2944.61	253.00	10.39	6.74
gene10078	rna17078_gene10078	1845.00	1619.61	203.00	15.15	9.83
gene10079	gene10079_gene10079	7757.00	7531.61	1485.00	23.84	15.46
gene1008	rna1744_gene1008,rna1745_gene1008,rna1746_gene1008,rna1747_gene1008,rna1748_gene1008,rna1749_gene1008,rna1750_gene1008	1584.11	1358.72	3145.00	279.85	181.54
gene10080	rna17079_gene10080	2274.00	2048.61	302.00	17.82	11.56
gene10081	rna17080_gene10081,rna17081_gene10081	1293.50	1068.12	744.00	84.21	54.63
gene10082	rna17082_gene10082,rna17083_gene10082	2606.94	2381.56	756.00	38.38	24.90
gene10083	rna17084_gene10083	1131.00	905.61	5177.00	691.14	448.34
gene10084	rna17085_gene10084	1440.00	1214.61	0.00	0.00	0.00
