gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2028.77	123.00	6.59	4.36
gene10	rna11_gene10	889.00	663.77	0.00	0.00	0.00
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3185.42	2960.18	556.00	20.41	13.49
gene1000	rna1733_gene1000	2331.00	2105.77	14.00	0.72	0.48
gene10000	rna16931_gene10000	1026.00	800.77	7.00	0.95	0.63
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3474.00	3248.77	8.00	0.27	0.18
gene10002	rna16938_gene10002,rna16939_gene10002	3140.00	2914.77	64.09	2.39	1.58
gene10003	rna16940_gene10003	2253.00	2027.77	226.00	12.11	8.01
gene10004	rna16941_gene10004	768.00	542.78	111.00	22.22	14.69
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5738.67	5513.44	459.28	9.05	5.98
gene10006	rna16946_gene10006	1439.00	1213.77	54.05	4.84	3.20
gene10007	rna16947_gene10007	488.00	263.23	66.00	27.25	18.01
gene10008	rna16948_gene10008	647.00	421.81	0.00	0.00	0.00
gene10009	rna16949_gene10009	2845.00	2619.77	10.72	0.44	0.29
gene1001	rna1734_gene1001	3958.00	3732.77	1474.00	42.91	28.37
gene10010	rna16950_gene10010	2083.00	1857.77	22.95	1.34	0.89
gene10011	rna16951_gene10011	501.00	276.14	0.00	0.00	0.00
gene10012	rna16952_gene10012	3414.00	3188.77	270.00	9.20	6.08
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2640.50	2415.26	319.00	14.35	9.49
gene10014	rna16956_gene10014	2999.00	2773.77	3.00	0.12	0.08
gene10015	rna16957_gene10015	1960.00	1734.77	5.00	0.31	0.21
gene10016	rna16958_gene10016	2642.00	2416.77	92.00	4.14	2.73
gene10017	rna16959_gene10017	186.00	7.57	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1729.10	1503.87	325.00	23.48	15.53
gene10019	rna16962_gene10019	1964.00	1738.77	23.00	1.44	0.95
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	727.77	51.00	7.61	5.03
gene10020	rna16963_gene10020	2026.00	1800.77	894.00	53.95	35.67
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1760.77	22.00	1.36	0.90
gene10022	rna16966_gene10022	2461.00	2235.77	75.00	3.65	2.41
gene10023	rna16967_gene10023	970.00	744.77	2.00	0.29	0.19
gene10024	rna16968_gene10024	4014.00	3788.77	580.00	16.63	11.00
gene10025	rna16969_gene10025,rna16970_gene10025	2074.00	1848.77	23.00	1.35	0.89
gene10026	rna16971_gene10026,rna16972_gene10026	3493.00	3267.77	221.00	7.35	4.86
gene10027	rna16973_gene10027,rna16974_gene10027,rna16975_gene10027	2350.49	2125.26	748.00	38.24	25.29
gene10028	rna16976_gene10028	1246.00	1020.77	764.00	81.33	53.77
gene10029	rna16977_gene10029	4701.00	4475.77	1252.00	30.40	20.10
gene1003	rna1737_gene1003,rna1738_gene1003	923.00	697.77	1.00	0.16	0.10
gene10030	rna16978_gene10030	789.00	563.77	0.00	0.00	0.00
