gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2032.16	43.00	2.42	1.56
gene10	rna11_gene10	889.00	667.16	1.41	0.24	0.16
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3187.34	2965.50	440.00	16.98	10.94
gene1000	rna1733_gene1000	2331.00	2109.16	15.00	0.81	0.52
gene10000	rna16931_gene10000	1026.00	804.16	5.00	0.71	0.46
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3474.59	3252.75	14.00	0.49	0.32
gene10002	rna16938_gene10002,rna16939_gene10002	3140.00	2918.16	0.00	0.00	0.00
gene10003	rna16940_gene10003	2253.00	2031.16	273.00	15.38	9.91
gene10004	rna16941_gene10004	768.00	546.17	201.69	42.27	27.24
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5742.71	5520.87	358.24	7.43	4.79
gene10006	rna16946_gene10006	1439.00	1217.16	52.41	4.93	3.18
gene10007	rna16947_gene10007	488.00	266.52	164.00	70.43	45.39
gene10008	rna16948_gene10008	647.00	425.20	2.31	0.62	0.40
gene10009	rna16949_gene10009	2845.00	2623.16	69.76	3.04	1.96
gene1001	rna1734_gene1001	3958.00	3736.16	1632.00	50.00	32.22
gene10010	rna16950_gene10010	2083.00	1861.16	65.59	4.03	2.60
gene10011	rna16951_gene10011	501.00	279.45	0.00	0.00	0.00
gene10012	rna16952_gene10012	3414.00	3192.16	348.00	12.48	8.04
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2649.68	2427.84	199.00	9.38	6.05
gene10014	rna16956_gene10014	2999.00	2777.16	22.00	0.91	0.58
gene10015	rna16957_gene10015	1960.00	1738.16	11.00	0.72	0.47
gene10016	rna16958_gene10016	2642.00	2420.16	403.00	19.06	12.28
gene10017	rna16959_gene10017	186.00	7.88	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1725.57	1503.73	318.00	24.21	15.60
gene10019	rna16962_gene10019	1964.00	1742.16	41.00	2.69	1.74
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	731.16	60.00	9.39	6.05
gene10020	rna16963_gene10020	2026.00	1804.16	411.00	26.08	16.80
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1764.16	1.00	0.06	0.04
