gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2030.65	44.00	2.51	1.69
gene10	rna11_gene10	889.00	665.65	1.00	0.17	0.12
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3177.50	2954.15	419.00	16.43	11.06
gene1000	rna1733_gene1000	2331.00	2107.65	9.00	0.49	0.33
gene10000	rna16931_gene10000	1026.00	802.65	5.00	0.72	0.49
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3285.00	3061.65	3.00	0.11	0.08
gene10002	rna16938_gene10002,rna16939_gene10002	3140.00	2916.65	11.32	0.45	0.30
gene10003	rna16940_gene10003	2253.00	2029.65	216.00	12.33	8.30
gene10004	rna16941_gene10004	768.00	544.67	120.22	25.56	17.21
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5745.20	5521.85	268.78	5.64	3.80
gene10006	rna16946_gene10006	1439.00	1215.65	35.25	3.36	2.26
gene10007	rna16947_gene10007	488.00	265.09	61.32	26.79	18.04
gene10008	rna16948_gene10008	647.00	423.70	1.78	0.49	0.33
gene10009	rna16949_gene10009	2845.00	2621.65	56.22	2.48	1.67
gene1001	rna1734_gene1001	3958.00	3734.65	1231.00	38.18	25.70
gene10010	rna16950_gene10010	2083.00	1859.65	65.75	4.09	2.76
gene10011	rna16951_gene10011	501.00	278.01	113.68	47.36	31.89
gene10012	rna16952_gene10012	3414.00	3190.65	201.00	7.30	4.91
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2652.00	2428.65	316.00	15.07	10.15
gene10014	rna16956_gene10014	2999.00	2775.65	5.00	0.21	0.14
gene10015	rna16957_gene10015	1960.00	1736.65	3.00	0.20	0.13
gene10016	rna16958_gene10016	2642.00	2418.65	330.00	15.80	10.64
gene10017	rna16959_gene10017	186.00	7.76	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1738.02	1514.67	218.00	16.67	11.22
gene10019	rna16962_gene10019	1964.00	1740.65	13.00	0.87	0.58
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	729.65	50.00	7.94	5.34
gene10020	rna16963_gene10020	2026.00	1802.65	1073.00	68.94	46.41
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1762.65	6.00	0.39	0.27
gene10022	rna16966_gene10022	2461.00	2237.65	57.00	2.95	1.99
gene10023	rna16967_gene10023	970.00	746.65	4.00	0.62	0.42
gene10024	rna16968_gene10024	4014.00	3790.65	985.00	30.10	20.26
